label,page,subpage,col,row
0,837,1,1,1
5,837,1,1,2
5,837,1,1,3
5,837,1,1,4
5,837,1,1,5
5,837,1,1,6
4,837,1,1,7
5,837,1,1,8
5,837,1,1,9
4,837,1,1,10
4,837,1,1,11
4,837,1,1,12
4,837,1,1,13
5,837,1,1,14
4,837,1,1,15
5,837,1,1,16
5,837,1,1,17
5,837,1,1,18
5,837,1,1,19
4,837,1,1,20
4,837,1,1,21
5,837,1,1,22
5,837,1,1,23
5,837,1,1,24
4,837,1,1,25
4,837,1,1,26
5,837,1,1,27
5,837,1,1,28
4,837,1,1,29
5,837,1,1,30
5,837,1,1,31
4,837,1,1,32
5,837,1,1,33
4,837,1,1,34
5,837,1,1,35
5,837,1,1,36
5,837,1,1,37
5,837,1,1,38
5,837,1,1,39
4,837,1,1,40
4,837,1,1,41
6,837,1,1,42
6,837,1,1,43
6,837,1,1,44
6,837,1,1,45
6,837,1,1,46
6,837,1,1,47
6,837,1,1,48
0,837,1,1,49
2,837,1,1,50
0,837,1,1,51
3,837,1,1,52
3,837,1,1,53
4,837,1,1,54
4,837,1,1,55
4,837,1,1,56
4,837,1,1,57
5,837,1,1,58
5,837,1,1,59
4,837,1,1,60
6,837,1,1,61
6,837,1,1,62
6,837,1,1,63
6,837,1,1,64
0,837,1,1,65
2,837,1,1,66
2,837,1,1,67
0,837,1,1,68
3,837,1,1,69
3,837,1,1,70
3,837,1,1,71
4,837,1,1,72
5,837,1,1,73
0,837,1,2,1
0,837,1,2,2
5,837,1,2,3
5,837,1,2,4
5,837,1,2,5
5,837,1,2,6
5,837,1,2,7
4,837,1,2,8
4,837,1,2,9
4,837,1,2,10
4,837,1,2,11
4,837,1,2,12
5,837,1,2,13
4,837,1,2,14
5,837,1,2,15
5,837,1,2,16
5,837,1,2,17
5,837,1,2,18
4,837,1,2,19
4,837,1,2,20
5,837,1,2,21
5,837,1,2,22
4,837,1,2,23
4,837,1,2,24
5,837,1,2,25
5,837,1,2,26
4,837,1,2,27
5,837,1,2,28
5,837,1,2,29
4,837,1,2,30
5,837,1,2,31
4,837,1,2,32
5,837,1,2,33
5,837,1,2,34
5,837,1,2,35
4,837,1,2,36
5,837,1,2,37
4,837,1,2,38
6,837,1,2,39
6,837,1,2,40
6,837,1,2,41
6,837,1,2,42
6,837,1,2,43
6,837,1,2,44
6,837,1,2,45
6,837,1,2,46
6,837,1,2,47
6,837,1,2,48
6,837,1,2,49
6,837,1,2,50
6,837,1,2,51
6,837,1,2,52
6,837,1,2,53
6,837,1,2,54
6,837,1,2,55
6,837,1,2,56
6,837,1,2,57
6,837,1,2,58
6,837,1,2,59
6,837,1,2,60
6,837,1,2,61
6,837,1,2,62
6,837,1,2,63
6,837,1,2,64
6,837,1,2,65
6,837,1,2,66
6,837,1,2,67
6,837,1,2,68
6,837,1,2,69
6,837,1,2,70
6,837,1,2,71
0,837,1,2,72
0,837,1,3,1
6,837,1,3,2
6,837,1,3,3
6,837,1,3,4
0,837,1,3,5
6,837,1,3,6
0,837,1,3,7
6,837,1,3,8
6,837,1,3,9
6,837,1,3,10
