cls,File,Image,Side,Row,Col
6,19,2,1,0,0
6,19,2,1,0,1
6,19,2,1,0,2
6,19,2,1,0,3
6,19,2,1,0,4
6,19,2,1,0,5
6,19,2,1,0,6
6,19,2,1,0,7
0,19,2,1,0,8
4,19,2,1,0,9
6,19,2,1,0,10
6,19,2,1,0,11
6,19,2,1,0,12
6,19,2,1,0,13
6,19,2,1,0,14
6,19,2,1,0,15
6,19,2,1,0,16
6,19,2,1,0,17
6,19,2,1,0,18
6,19,2,1,0,19
6,19,2,1,0,20
6,19,2,1,0,21
8,19,2,1,0,22
1,19,2,1,0,23
2,19,2,1,0,24
2,19,2,1,0,25
5,19,2,1,0,26
5,19,2,1,0,27
5,19,2,1,0,28
3,19,2,1,0,29
3,19,2,1,0,30
6,19,2,1,0,31
6,19,2,1,0,32
6,19,2,1,0,33
6,19,2,1,0,34
6,19,2,1,0,35
6,19,2,1,0,36
3,19,2,1,0,37
6,19,2,1,0,38
5,19,2,1,0,39
5,19,2,1,0,40
5,19,2,1,0,41
6,19,2,1,0,42
5,19,2,1,0,43
6,19,2,1,0,44
5,19,2,1,0,45
6,19,2,1,0,46
0,19,2,1,0,47
8,19,2,1,0,48
1,19,2,1,0,49
2,19,2,1,0,50
2,19,2,1,0,51
5,19,2,1,0,52
5,19,2,1,0,53
5,19,2,1,0,54
3,19,2,1,0,55
3,19,2,1,0,56
3,19,2,1,0,57
3,19,2,1,0,58
6,19,2,1,0,59
6,19,2,1,0,60
6,19,2,1,0,61
3,19,2,1,1,0
6,19,2,1,1,1
0,19,2,1,1,2
6,19,2,1,1,3
5,19,2,1,1,4
5,19,2,1,1,5
5,19,2,1,1,6
6,19,2,1,1,7
5,19,2,1,1,8
6,19,2,1,1,9
5,19,2,1,1,10
8,19,2,1,1,11
1,19,2,1,1,12
2,19,2,1,1,13
2,19,2,1,1,14
5,19,2,1,1,15
5,19,2,1,1,16
5,19,2,1,1,17
3,19,2,1,1,18
3,19,2,1,1,19
3,19,2,1,1,20
6,19,2,1,1,21
6,19,2,1,1,22
6,19,2,1,1,23
6,19,2,1,1,24
3,19,2,1,1,25
5,19,2,1,1,26
5,19,2,1,1,27
5,19,2,1,1,28
