cls,File,Image,Side,Row,Col
5,19,1,0,0,0
3,19,1,0,0,1
3,19,1,0,0,2
3,19,1,0,0,3
6,19,1,0,0,4
6,19,1,0,0,5
3,19,1,0,0,6
6,19,1,0,0,7
6,19,1,0,0,8
6,19,1,0,0,9
6,19,1,0,0,10
6,19,1,0,0,11
3,19,1,0,0,12
6,19,1,0,0,13
6,19,1,0,0,14
5,19,1,0,0,15
5,19,1,0,0,16
5,19,1,0,0,17
6,19,1,0,0,18
5,19,1,0,0,19
6,19,1,0,0,20
5,19,1,0,0,21
6,19,1,0,0,22
6,19,1,0,0,23
6,19,1,0,0,24
6,19,1,0,0,25
6,19,1,0,0,26
6,19,1,0,0,27
8,19,1,0,0,28
1,19,1,0,0,29
2,19,1,0,0,30
2,19,1,0,0,31
5,19,1,0,0,32
5,19,1,0,0,33
5,19,1,0,0,34
3,19,1,0,0,35
3,19,1,0,0,36
3,19,1,0,0,37
6,19,1,0,0,38
3,19,1,0,0,39
6,19,1,0,0,40
6,19,1,0,0,41
6,19,1,0,0,42
3,19,1,0,0,43
6,19,1,0,0,44
6,19,1,0,0,45
6,19,1,0,0,46
5,19,1,0,0,47
5,19,1,0,0,48
5,19,1,0,0,49
6,19,1,0,0,50
5,19,1,0,0,51
5,19,1,0,0,52
6,19,1,0,0,53
6,19,1,0,0,54
8,19,1,0,0,55
1,19,1,0,0,56
2,19,1,0,0,57
2,19,1,0,0,58
5,19,1,0,0,59
5,19,1,0,0,60
6,19,1,0,0,61
5,19,1,0,1,0
3,19,1,0,1,1
3,19,1,0,1,2
3,19,1,0,1,3
6,19,1,0,1,4
6,19,1,0,1,5
6,19,1,0,1,6
6,19,1,0,1,7
3,19,1,0,1,8
6,19,1,0,1,9
5,19,1,0,1,10
0,19,1,0,1,11
5,19,1,0,1,12
5,19,1,0,1,13
6,19,1,0,1,14
5,19,1,0,1,15
5,19,1,0,1,16
6,19,1,0,1,17
8,19,1,0,1,18
1,19,1,0,1,19
2,19,1,0,1,20
2,19,1,0,1,21
5,19,1,0,1,22
5,19,1,0,1,23
5,19,1,0,1,24
0,19,1,0,1,25
3,19,1,0,1,26
3,19,1,0,1,27
3,19,1,0,1,28
6,19,1,0,1,29
3,19,1,0,1,30
6,19,1,0,1,31
6,19,1,0,1,32
6,19,1,0,1,33
6,19,1,0,1,34
6,19,1,0,1,35
3,19,1,0,1,36
6,19,1,0,1,37
6,19,1,0,1,38
5,19,1,0,1,39
5,19,1,0,1,40
5,19,1,0,1,41
6,19,1,0,1,42
5,19,1,0,1,43
8,19,1,0,1,44
1,19,1,0,1,45
2,19,1,0,1,46
2,19,1,0,1,47
5,19,1,0,1,48
5,19,1,0,1,49
6,19,1,0,1,50
5,19,1,0,1,51
3,19,1,0,1,52
3,19,1,0,1,53
3,19,1,0,1,54
6,19,1,0,1,55
6,19,1,0,1,56
3,19,1,0,1,57
6,19,1,0,1,58
6,19,1,0,1,59
3,19,1,0,1,60
6,19,1,0,1,61
6,19,1,0,1,62
5,19,1,0,2,0
5,19,1,0,2,1
5,19,1,0,2,2
6,19,1,0,2,3
5,19,1,0,2,4
8,19,1,0,2,5
1,19,1,0,2,6
2,19,1,0,2,7
2,19,1,0,2,8
5,19,1,0,2,9
5,19,1,0,2,10
5,19,1,0,2,11
3,19,1,0,2,12
3,19,1,0,2,13
6,19,1,0,2,14
3,19,1,0,2,15
6,19,1,0,2,16
6,19,1,0,2,17
6,19,1,0,2,18
6,19,1,0,2,19
3,19,1,0,2,20
6,19,1,0,2,21
5,19,1,0,2,22
5,19,1,0,2,23
5,19,1,0,2,24
6,19,1,0,2,25
5,19,1,0,2,26
6,19,1,0,2,27
5,19,1,0,2,28
6,19,1,0,2,29
8,19,1,0,2,30
1,19,1,0,2,31
2,19,1,0,2,32
2,19,1,0,2,33
5,19,1,0,2,34
5,19,1,0,2,35
5,19,1,0,2,36
3,19,1,0,2,37
3,19,1,0,2,38
3,19,1,0,2,39
3,19,1,0,2,40
